id,chinese,english,family,r_package,r_function,file,public_docs
1,山脊图,Ridgeline plot,分布,"ggridges","geom_density_ridges()",01_ridgeline.png,https://rdrr.io/cran/ggridges/man/geom_density_ridges.html
2,线型热图,Linear heatmap plot,热图,"ggplot2","geom_raster()",02_linear_heatmap.png,https://ggplot2.tidyverse.org/reference/geom_tile.html
3,方块热图,Square heatmap plot,热图,"ggplot2","geom_tile()",03_square_heatmap.png,https://ggplot2.tidyverse.org/reference/geom_tile.html
4,三维堆叠柱状图,3D stacked bar chart,三维柱状,"ggplot2 (等轴测) / plot3D","geom_polygon() isometric cubes",04_3d_stacked_bar.png,https://cran.r-project.org/package=plot3D
5,风玫瑰图,Wind rose,极坐标,"ggplot2 / openair","geom_col() + coord_polar()",05_wind_rose.png,https://openair-project.github.io/book/sections/directional-analysis/wind-roses.html
6,雷达图,Radar / spider chart,极坐标,"fmsb","radarchart()",06_radar.png,https://search.r-project.org/CRAN/refmans/fmsb/html/radarchart.html
7,线型热图（序列）,Linear heatmap of series,热图,"ggplot2","geom_raster()",07_linear_heatmap_series.png,https://ggplot2.tidyverse.org/reference/geom_raster.html
8,聚类散点图,Cluster scatter plot,散点,"ggplot2","geom_point()",08_cluster_scatter.png,https://ggplot2.tidyverse.org/reference/geom_point.html
9,带填充纹理的柱状图,Texture-filled bar chart,柱状,"ggpattern","geom_col_pattern()",09_pattern_bar.png,https://cran.r-project.org/package=ggpattern
10,三维聚类散点图,3D cluster scatter,三维散点,"scatterplot3d / plot3D","scatterplot3d()",10_3d_cluster_scatter.png,https://cran.r-project.org/package=scatterplot3d
11,方块热图2,Square heatmap 2,热图,"ggplot2","geom_tile()",11_square_heatmap_2.png,https://ggplot2.tidyverse.org/reference/geom_tile.html
12,局部放大图,Inset / zoom plot,注释放大,"ggforce / cowplot","facet_zoom()",12_inset_zoom.png,https://ggforce.data-imaginist.com/reference/facet_zoom.html
13,带填充纹理的堆叠图,Texture-filled stacked bar,柱状,"ggpattern","geom_col_pattern(position='stack')",13_pattern_stacked.png,https://cran.r-project.org/package=ggpattern
14,相关性方块热图,Correlation square heatmap,相关热图,"ggcorrplot / corrplot","ggcorrplot(method='square')",14_corr_square_heatmap.png,https://cran.r-project.org/web/packages/ggcorrplot/vignettes/publication-ready-correlation-plots.html
15,华夫图,Waffle chart,构成,"ggplot2 / waffle","geom_tile() waffle grid",15_waffle.png,https://search.r-project.org/CRAN/refmans/waffle/html/waffle.html
16,三维填充折线图,3D filled line / ribbon,三维曲面,"graphics / plot3D","persp() / ribbon3D()",16_3d_filled_line.png,https://rdrr.io/cran/plot3D/man/persp3D.html
17,气泡热图,Bubble heatmap,热图,"ggplot2","geom_tile() + geom_point(shape=21)",17_bubble_heatmap.png,https://ggplot2.tidyverse.org/reference/geom_point.html
